Pheno	AUC	sample_size	indel_prop
APOBEC	0.998056722689076	100	0
APOBEC	0.999632352941176	100	0
APOBEC	0.998660714285714	100	0
APOBEC	0.997295168067227	100	0
APOBEC	0.997689075630252	100	0
APOBEC	0.996507352941176	100	0
APOBEC	0.999396008403361	100	0
APOBEC	0.998634453781513	100	0
APOBEC	0.999606092436975	100	0
APOBEC	0.999185924369748	100	0
APOBEC	0.998765756302521	100	0
APOBEC	0.999396008403361	100	0
APOBEC	0.998608193277311	100	0
APOBEC	0.998319327731092	100	0
APOBEC	0.997452731092437	100	0
APOBEC	0.996297268907563	100	0
APOBEC	0.998082983193277	100	0
APOBEC	0.998476890756303	100	0
APOBEC	0.997741596638655	100	0
APOBEC	0.999474789915966	100	0
APOBEC	0.998870798319328	100	0
APOBEC	0.998555672268908	100	0
APOBEC	0.995772058823529	100	0
APOBEC	0.998450630252101	100	0
APOBEC	0.999107142857143	100	0
APOBEC	0.999264705882353	100	0
APOBEC	0.998529411764706	100	0
APOBEC	0.997584033613445	100	0
APOBEC	0.997899159663866	100	0
APOBEC	0.998056722689076	100	0
APOBEC	0.998686974789916	100	0
APOBEC	0.998555672268908	100	0
APOBEC	0.999054621848739	100	0
APOBEC	0.999080882352941	100	0
APOBEC	0.997373949579832	100	0
APOBEC	0.998844537815126	100	0
APOBEC	0.997977941176471	100	0
APOBEC	0.999474789915966	100	0
APOBEC	0.998739495798319	100	0
APOBEC	0.997137605042017	100	0
APOBEC	0.997794117647059	100	0
APOBEC	0.998975840336134	100	0
APOBEC	0.99968487394958	100	0
APOBEC	0.998240546218487	100	0
APOBEC	0.998345588235294	100	0
APOBEC	0.998476890756303	100	0
APOBEC	0.998030462184874	100	0
APOBEC	0.998634453781513	100	0
APOBEC	0.999133403361345	100	0
APOBEC	0.997242647058823	100	0
SBS3	0.972236546850827	100	0
SBS3	0.972919483198372	100	0
SBS3	0.97778366249007	100	0
SBS3	0.963428061715146	100	0
SBS3	0.975623353635591	100	0
SBS3	0.960041254930382	100	0
SBS3	0.972975233104294	100	0
SBS3	0.969253926883998	100	0
SBS3	0.972111109562503	100	0
SBS3	0.976933476424759	100	0
SBS3	0.970912486585179	100	0
SBS3	0.970564049673166	100	0
SBS3	0.970215612761153	100	0
SBS3	0.973240045157424	100	0
SBS3	0.976766226706992	100	0
SBS3	0.972501358903957	100	0
SBS3	0.964515184880625	100	0
SBS3	0.968682490348298	100	0
SBS3	0.974076293746254	100	0
SBS3	0.969100614642713	100	0
SBS3	0.971539673026802	100	0
SBS3	0.97067554948501	100	0
SBS3	0.970452549861322	100	0
SBS3	0.973393357398709	100	0
SBS3	0.971846297509373	100	0
SBS3	0.973295795063346	100	0
SBS3	0.961379252672511	100	0
SBS3	0.97944222219125	100	0
SBS3	0.980794157409859	100	0
SBS3	0.977128601095486	100	0
SBS3	0.974299293369942	100	0
SBS3	0.975553666253188	100	0
SBS3	0.979121660232198	100	0
SBS3	0.968529178107012	100	0
SBS3	0.975693041017993	100	0
SBS3	0.96627130691717	100	0
SBS3	0.978257536690407	100	0
SBS3	0.97613904026537	100	0
SBS3	0.980599032739132	100	0
SBS3	0.968069241383155	100	0
SBS3	0.965546558140183	100	0
SBS3	0.969908988278582	100	0
SBS3	0.975497916347266	100	0
SBS3	0.972947358151333	100	0
SBS3	0.968821865113103	100	0
SBS3	0.963386249285704	100	0
SBS3	0.976292352506655	100	0
SBS3	0.971525735550321	100	0
SBS3	0.974661667758436	100	0
SBS3	0.959943692595019	100	0
SBS5	0.972634862092909	100	0
SBS5	0.974979794875297	100	0
SBS5	0.978702091088117	100	0
SBS5	0.975344056278387	100	0
SBS5	0.975423738460313	100	0
SBS5	0.972486880897904	100	0
SBS5	0.977939418775399	100	0
SBS5	0.977632073216542	100	0
SBS5	0.976607588020353	100	0
SBS5	0.977745904905007	100	0
SBS5	0.978019100957324	100	0
SBS5	0.975435121629159	100	0
SBS5	0.978622408906191	100	0
SBS5	0.975935981058407	100	0
SBS5	0.973556898769479	100	0
SBS5	0.974330954251044	100	0
SBS5	0.970073649102437	100	0
SBS5	0.976527905838427	100	0
SBS5	0.976095345422259	100	0
SBS5	0.972361666040592	100	0
SBS5	0.973511366094093	100	0
