Pheno	AUC	sample_size	indel_prop
APOBEC	0.993855042016807	50	0
APOBEC	0.996743697478992	50	0
APOBEC	0.995430672268908	50	0
APOBEC	0.995719537815126	50	0
APOBEC	0.996980042016807	50	0
APOBEC	0.994721638655462	50	0
APOBEC	0.995850840336134	50	0
APOBEC	0.993960084033613	50	0
APOBEC	0.999002100840336	50	0
APOBEC	0.996743697478992	50	0
APOBEC	0.999107142857143	50	0
APOBEC	0.997268907563025	50	0
APOBEC	0.99608718487395	50	0
APOBEC	0.995115546218487	50	0
APOBEC	0.996822478991597	50	0
APOBEC	0.995719537815126	50	0
APOBEC	0.996139705882353	50	0
APOBEC	0.994695378151261	50	0
APOBEC	0.998739495798319	50	0
APOBEC	0.997478991596639	50	0
APOBEC	0.995798319327731	50	0
APOBEC	0.996034663865546	50	0
APOBEC	0.998476890756303	50	0
APOBEC	0.996349789915966	50	0
APOBEC	0.996271008403361	50	0
APOBEC	0.997715336134454	50	0
APOBEC	0.995614495798319	50	0
APOBEC	0.99608718487395	50	0
APOBEC	0.995667016806723	50	0
APOBEC	0.998450630252101	50	0
APOBEC	0.990362394957983	50	0
APOBEC	0.995430672268908	50	0
APOBEC	0.997400210084034	50	0
APOBEC	0.996349789915966	50	0
APOBEC	0.99750525210084	50	0
APOBEC	0.99624474789916	50	0
APOBEC	0.990336134453782	50	0
APOBEC	0.996481092436975	50	0
APOBEC	0.995220588235294	50	0
APOBEC	0.994905462184874	50	0
APOBEC	0.995745798319328	50	0
APOBEC	0.995299369747899	50	0
APOBEC	0.995010504201681	50	0
APOBEC	0.993014705882353	50	0
APOBEC	0.995535714285714	50	0
APOBEC	0.993933823529412	50	0
APOBEC	0.997584033613445	50	0
APOBEC	0.995614495798319	50	0
APOBEC	0.994275210084034	50	0
APOBEC	0.996454831932773	50	0
SBS3	0.952082955860012	50	0
SBS3	0.959901880165577	50	0
SBS3	0.951163082412298	50	0
SBS3	0.94135109897002	50	0
SBS3	0.937671605179166	50	0
SBS3	0.961365315196031	50	0
SBS3	0.967776554377064	50	0
SBS3	0.955358262832931	50	0
SBS3	0.955093450779802	50	0
SBS3	0.958926256811942	50	0
SBS3	0.952222330624817	50	0
SBS3	0.945086342666797	50	0
SBS3	0.95010383419978	50	0
SBS3	0.957908821028865	50	0
SBS3	0.953978452661361	50	0
SBS3	0.943720469971707	50	0
SBS3	0.954034202567283	50	0
SBS3	0.951413956988948	50	0
SBS3	0.945852903873225	50	0
SBS3	0.967065743076559	50	0
SBS3	0.953797265467115	50	0
SBS3	0.964891496745599	50	0
SBS3	0.959874005212616	50	0
SBS3	0.944054969407239	50	0
SBS3	0.947176964138873	50	0
SBS3	0.958828694476578	50	0
SBS3	0.969867175849141	50	0
SBS3	0.954396576955776	50	0
SBS3	0.949699647381845	50	0
SBS3	0.957086509916515	50	0
SBS3	0.959762505400772	50	0
SBS3	0.947427838715522	50	0
SBS3	0.959009881670825	50	0
SBS3	0.953797265467115	50	0
SBS3	0.949852959623131	50	0
SBS3	0.958968069241383	50	0
SBS3	0.949170023275586	50	0
SBS3	0.957086509916515	50	0
SBS3	0.955553387503659	50	0
SBS3	0.957100447392995	50	0
SBS3	0.962313063596705	50	0
SBS3	0.959386193535798	50	0
SBS3	0.948821586363573	50	0
SBS3	0.951037645123974	50	0
SBS3	0.955372200309412	50	0
SBS3	0.95722588468132	50	0
SBS3	0.954563826673542	50	0
SBS3	0.963915873391964	50	0
SBS3	0.952110830812973	50	0
SBS3	0.960849628566252	50	0
