Pheno	AUC	sample_size	indel_prop
APOBEC	0.989863445378151	25	0
APOBEC	0.990099789915966	25	0
APOBEC	0.994117647058824	25	0
APOBEC	0.989810924369748	25	0
APOBEC	0.992542016806723	25	0
APOBEC	0.985661764705882	25	0
APOBEC	0.992016806722689	25	0
APOBEC	0.994038865546218	25	0
APOBEC	0.988602941176471	25	0
APOBEC	0.994248949579832	25	0
APOBEC	0.995273109243697	25	0
APOBEC	0.990362394957983	25	0
APOBEC	0.992620798319328	25	0
APOBEC	0.991176470588235	25	0
APOBEC	0.986764705882353	25	0
APOBEC	0.992148109243697	25	0
APOBEC	0.988419117647059	25	0
APOBEC	0.992384453781513	25	0
APOBEC	0.992830882352941	25	0
APOBEC	0.990730042016807	25	0
APOBEC	0.993014705882353	25	0
APOBEC	0.989863445378151	25	0
APOBEC	0.987263655462185	25	0
APOBEC	0.990966386554622	25	0
APOBEC	0.985215336134454	25	0
APOBEC	0.989784663865546	25	0
APOBEC	0.985110294117647	25	0
APOBEC	0.994642857142857	25	0
APOBEC	0.986186974789916	25	0
APOBEC	0.985898109243697	25	0
APOBEC	0.997741596638655	25	0
APOBEC	0.990178571428571	25	0
APOBEC	0.988655462184874	25	0
APOBEC	0.991491596638655	25	0
APOBEC	0.989627100840336	25	0
APOBEC	0.99280462184874	25	0
APOBEC	0.989233193277311	25	0
APOBEC	0.990362394957983	25	0
APOBEC	0.985215336134454	25	0
APOBEC	0.988602941176471	25	0
APOBEC	0.992121848739496	25	0
APOBEC	0.993382352941176	25	0
APOBEC	0.984637605042017	25	0
APOBEC	0.99157037815126	25	0
APOBEC	0.992279411764706	25	0
APOBEC	0.99280462184874	25	0
APOBEC	0.992016806722689	25	0
APOBEC	0.994091386554622	25	0
APOBEC	0.985688025210084	25	0
APOBEC	0.98734243697479	25	0
SBS3	0.918159138106454	25	0
SBS3	0.912361147890563	25	0
SBS3	0.930591367127068	25	0
SBS3	0.918326387824221	25	0
SBS3	0.912193898172797	25	0
SBS3	0.912737459755537	25	0
SBS3	0.920960570879037	25	0
SBS3	0.935664608565973	25	0
SBS3	0.931107053756847	25	0
SBS3	0.919483198372103	25	0
SBS3	0.933518237187975	25	0
SBS3	0.896876611520718	25	0
SBS3	0.915232268045548	25	0
SBS3	0.925755062788332	25	0
SBS3	0.91721138970578	25	0
SBS3	0.913448271056043	25	0
SBS3	0.924988501581904	25	0
SBS3	0.922451880862451	25	0
SBS3	0.908319279711216	25	0
SBS3	0.912416897796485	25	0
